medcodeid,cvd_term
1786197015,coronary thrombosis
1786198013,thrombosis - coronary
2476091017,h/o: stroke
2534664018,ischaemic heart disease
2536395017,coronary artery disease
2537480011,ihd - ischaemic heart disease
2548554013,haemorrhagic stroke monitoring
3505637014,occlusion of left middle cerebral artery
3505639012,occlusion of right middle cerebral artery
3505651014,occlusion of left posterior cerebral artery
3508952018,cerebrovascular accident due to thrombus of left carotid artery
3508955016,cerebrovascular accident due to thrombus of basilar artery
3508956015,stroke due to basilar artery thrombus
3508958019,cerebrovascular accident due to thrombus of right carotid artery
3508961018,cerebrovascular accident due to thrombus of right middle cerebral artery
3508962013,stroke due to thrombus of right middle cerebral artery
3508964014,cerebrovascular accident due to thrombus of left middle cerebral artery
3508965010,stroke due to thrombus of left middle cerebral artery
3509777019,cerebrovascular accident due to occlusion of left pontine artery
3509790014,cerebrovascular accident due to occlusion of right posterior cerebral artery
3509794017,cerebrovascular accident due to occlusion of left middle cerebral artery
3509799010,cerebrovascular accident due to occlusion of left posterior cerebral artery
3509810017,cerebrovascular accident due to occlusion of right middle cerebral artery
3509817019,left hemispheric cerebellar artery embolism with stroke
3636133016,cerebrovascular accident due to occlusion of right middle cerebral artery by embolus
3636969013,occlusion of right middle cerebral artery by embolus
24561000006118,other open operation on femoral or popliteal artery nos
24571000006113,other open operation on femoral or popliteal artery os
39111000006114,other acute and subacute ischaemic heart disease
67081000006119,ventricular septal defect as current complication following acute myocardial infarction
72571000006115,unstable angina
90731000000111,refuses coronary heart disease monitoring
100681000006116,"thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
118831000006118,subsequent myocardial infarction of unspecified site
122401000006115,stroke unspecified
149571000006118,"sequelae of stroke,not specfd as h'morrhage or infarction"
158601000006116,rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
158611000006118,rupture of chordae tendinae as current complication following acute myocardial infarction
159001000006119,rupture of papillary muscle as current complication following acute myocardial infarction
163261000006119,"right sided intracerebral haemorrhage, unspecified"
173461000006110,replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
173471000006115,replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
187331000006112,reconstruction of femoral or popliteal artery os
212061000006119,postoperative transmural myocardial infarction of anterior wall
212071000006114,postoperative transmural myocardial infarction of inferior wall
212081000006112,postoperative transmural myocardial infarction other sites
212091000006110,postoperative transmural myocardial infarction unspec site
219521000000119,attack - heart
219531000000117,mi - acute myocardial infarction
230021000006115,personal history of myocardial infarction
236331000000111,stroke/transient ischaemic attack monitoring administration
359231000000117,endovascular stenting of aorto-uniiliac aneurysm
362461000006119,[x]acute transmural myocardial infarction of unspecif site
394541000006112,[x]ischaemic heart diseases
406961000000113,coronary heart disease monitoring telephone invite
408571000006116,[x]other current complicatns following acute myocard infarct
426321000006116,"[x]sequelae of stroke,not specfd as h'morrhage or infarction"
455641000006112,acute anterolateral myocardial infarction
455651000006114,acute anteroseptal myocardial infarction
457531000006110,acute inferolateral myocardial infarction
460681000006116,acute transmural myocardial infarction of unspecif site
482811000006113,angina at rest
482941000006119,angina pectoris nos
482961000006115,anginal control: no attacks
488231000000113,endovascular stenting for aorto-uniiliac aneurysm
491481000006111,arteriography of common iliac artery
491511000006115,arteriography of popliteal artery
496991000006111,atherosclerotic cardiovascular disease
498031000006112,atrial septal defect as current complication following acute myocardial infarction
530051000006117,bypass aorta by anastomosis axillary to femoral artery nec
530061000006115,bypass of bifurcation of aorta by anastomosis of aorta to femoral artery
530071000006110,bypass of bifurcation of aorta by anastomosis of aorta to iliac artery
537751000006115,cardiac rupture after acute myocardial infarction
543291000006110,myocardial infarction with complication
585631000000113,emergency hospital admission for ischaemic heart disease
605481000006110,cva - cerebrovascular accident in the puerperium
605491000006113,cva - cerebrovascular accident
605501000006117,cva unspecified
616081000006113,diabetes mellitus insulin-glucose infusion in acute myocardial infarction
639341000006115,emergency bypass of aorta by anastomosis of axillary artery to femoral artery
639371000006111,emergency bypass of bifurcation of aorta by anastomosis of aorta to femoral artery
639381000006114,emergency bypass of bifurcation of aorta by anastomosis of aorta to iliac artery
639641000006113,emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
639651000006110,emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
741071000000112,peripheral vascular disease monitoring invitation
744901000006114,intracerebral haemorrhage (ich)
744921000006116,"intracerebral haemorrhage in hemisphere, unspecified"
746571000006116,"intracerebral haemorrhage, multiple localized"
748941000006115,"left sided intracerebral haemorrhage, unspecified"
798761000006112,gas gangrene
